FR_ID,AC_ID,User_Story_ID,Confidence,Source
FR-001,AC-001-01,US-001,High,User-confirmed
FR-001,AC-001-02,US-001,High,User-confirmed
FR-001,AC-001-03,US-003,High,User-confirmed
FR-001,AC-001-04,US-001,High,User-confirmed
FR-001,AC-001-05,US-003,High,User-confirmed
FR-001,AC-001-06,US-004,High,User-confirmed
FR-002,AC-002-01,US-001,High,User-confirmed
FR-002,AC-002-02,US-001,High,User-confirmed
FR-002,AC-002-03,US-006,High,User-confirmed
FR-002,AC-002-04,US-006,High,User-confirmed
FR-002,AC-002-05,US-006,High,User-confirmed
FR-002,AC-002-06,US-006,High,User-confirmed
FR-003,AC-003-01,US-002,High,User-confirmed
FR-003,AC-003-02,US-003,High,User-confirmed
FR-003,AC-003-03,US-002,High,User-confirmed
FR-003,AC-003-04,US-002,High,User-confirmed
FR-004,AC-004-01,US-002,High,User-confirmed
FR-004,AC-004-02,US-001,High,User-confirmed
FR-004,AC-004-03,US-001,High,User-confirmed
FR-004,AC-004-04,US-001,High,User-confirmed
FR-004,AC-004-05,US-002,High,Codebase-inferred
FR-005,AC-005-01,US-001,High,User-confirmed
FR-005,AC-005-02,US-001,High,User-confirmed
FR-005,AC-005-03,US-004,High,User-confirmed
FR-006,AC-006-01,US-004,High,User-confirmed
FR-006,AC-006-02,US-004,High,User-confirmed
FR-006,AC-006-03,US-004,High,User-confirmed
FR-006,AC-006-04,US-004,High,User-confirmed
FR-006,AC-006-05,US-004,High,User-confirmed
FR-006,AC-006-06,US-004,High,User-confirmed
FR-007,AC-007-01,US-005,High,User-confirmed
FR-007,AC-007-02,US-005,High,User-confirmed
FR-007,AC-007-03,US-005,High,Codebase-inferred
FR-007,AC-007-04,US-005,Medium,Codebase-inferred
FR-008,AC-008-01,US-006,High,User-confirmed
FR-008,AC-008-02,US-006,High,User-confirmed
FR-008,AC-008-03,US-006,High,User-confirmed
FR-008,AC-008-04,US-006,High,User-confirmed
FR-008,AC-008-05,US-006,High,User-confirmed
